Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,HBP,SH,SF
1967.0,22.0,-1.9,Knoxville,SOUL,AA,CIN,22.0,69.0,63.0,2.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,15.0,0.191,0.246,0.191,0.437,12.0,1.0,0.0,1.0
1967.0,22.0,1.6,Sioux Falls,NORL,A-,CIN,35.0,149.0,122.0,22.0,33.0,6.0,0.0,0.0,8.0,2.0,1.0,23.0,21.0,0.271,0.381,0.32,0.701,39.0,0.0,2.0,2.0
1968.0,23.0,2.6,Sioux Falls,NORL,A-,CIN,67.0,276.0,232.0,31.0,71.0,10.0,0.0,7.0,36.0,1.0,0.0,32.0,35.0,0.306,0.393,0.44,0.833,102.0,2.0,9.0,1.0
1969.0,24.0,3.6,Sioux Falls,NORL,A-,CIN,5.0,20.0,16.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.188,0.35,0.25,0.6,4.0,0.0,0.0,0.0
1971.0,26.0,5.1,Tampa,FLOR,A,CIN,90.0,273.0,233.0,22.0,62.0,10.0,1.0,1.0,38.0,3.0,2.0,32.0,28.0,0.266,0.352,0.331,0.683,77.0,0.0,6.0,2.0
